Week,Store,Contact id,first_name,Manager,Operations,Site,QA login,Contact Reason,Medium,Handle Team,Annotations,Policy Adherence,impact,opportunity
3,COM,557325105-8,Farlay,Clementina,Filippo,Pune,Ruturaj,MDR,C,Ours,Valid,Adhered,,
4,COM,162385107-6,Melania,Agathe,Sonja,Pune,Apoorv,RR,V,Ours,Invalid,Deviated,IMPACT5,37188 Karstens Pass
1,COM,346106750-4,Theodore,Teriann,Rip,Pune,Priyanka,WMS,E,Ours,Invalid,Deviated,IMPACT2,1 Hintze Hill
1,COM,952685653-8,Donnie,Rosetta,Rozalie,Pune,Suruchi,WMS,C,Ours,Invalid,Deviated,IMPACT4,7 Red Cloud Lane
3,COM,893864547-9,Kean,Harv,Stormie,Sydney,Saugata,IM,V,Ours,Invalid,Deviated,IMPACT4,818 Superior Junction
5,COM,360190046-7,Douglass,Maddie,Ardelia,Pune,Nagaraju,RR,C,Ours,Invalid,Deviated,IMPACT5,00 Mayfield Lane
2,COM,988070267-0,Thadeus,Chas,Filippo,New York,Ruturaj,IM,V,Ours,Valid,Adhered,,
5,COM,274530516-6,Garret,Ara,Carlina,New York,Himabindu,RR,V,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
4,COM,930728355-9,Maiga,Ives,Philbert,Pune,Sandeep,PM,E,Ours,Valid,Adhered,,
2,COM,290735087-0,Mae,Brigitta,Ardelia,Sydney,Shiva,RR,E,Ours,Invalid,Deviated,IMPACT4,54279 Westend Parkway
4,COM,163066622-X,Vale,Ame,Rozalie,Pune,Divya,DNR,E,Ours,Invalid,Deviated,IMPACT1,3 American Trail
2,COM,819690904-7,Nance,Zaneta,Philbert,Pune,Sandeep,WMS,E,Ours,Invalid,Deviated,IMPACT5,1 Hintze Hill
1,CA,301049487-4,Boyd,Hestia,Axe,Pune,Suruchi,MDR,E,Ours,Invalid,Deviated,IMPACT4,3 American Trail
4,COM,470919436-X,Freemon,Valma,Betsey,Sydney,Himabindu,IM,E,Ours,Invalid,Deviated,IMPACT2,00 Mayfield Lane
3,COM,434918836-3,Dodie,Valma,Betsey,Sydney,Saugata,IM,V,Ours,Invalid,Deviated,IMPACT1,1972 Scott Pass
4,COM,981633993-5,Hermann,Henrieta,Berthe,Pune,Apoorv,NC,V,Ours,Invalid,Deviated,IMPACT3,14 Karstens Alley
3,COM,669596161-1,William,Fancy,Lutero,Pune,Divya,WMS,V,Ours,Invalid,Deviated,IMPACT3,41568 Doe Crossing Junction
1,COM,474423454-2,Jermaine,Caryl,Filippo,New York,Ruturaj,NC,E,Ours,Invalid,Deviated,IMPACT4,00 Mayfield Lane
2,COM,241148948-X,Eloisa,Dicky,Eugenia,New York,Ruturaj,NC,E,Ours,Invalid,Deviated,IMPACT5,1972 Scott Pass
3,COM,514028130-9,Norrie,Janith,Alec,Pune,Saugata,PM,E,Ours,Invalid,Deviated,IMPACT4,1 Hintze Hill
4,COM,913151860-5,Irwin,Garrik,Ardelia,Pune,Ruturaj,DNR,E,Ours,Invalid,Deviated,IMPACT1,00 Mayfield Lane
2,COM,189038482-8,Jefferson,Alvin,Rip,New York,Priyanka,IM,E,Ours,Invalid,Deviated,IMPACT4,4676 Spohn Trail
3,COM,452721305-9,Brandais,Antone,Philbert,Pune,Sandeep,NC,V,Others,Invalid,Deviated,IMPACT5,579 Farmco Hill
3,COM,283887257-5,Enoch,Ives,Philbert,Pune,Ruturaj,DNR,E,Others,Invalid,Deviated,IMPACT1,140 Chinook Circle
3,COM,605357108-3,Wilbur,Jeramey,Filippo,New York,Ruturaj,PM,C,Ours,Invalid,Deviated,IMPACT2,1972 Scott Pass
3,COM,687302120-2,Morgun,Osbourne,Alastair,Sydney,Sandeep,IM,C,Ours,Invalid,Deviated,IMPACT4,42248 Myrtle Trail
2,COM,473080508-9,Chico,Corrie,Martguerita,New York,Ruturaj,RR,C,Ours,Invalid,Deviated,IMPACT1,1972 Scott Pass
4,COM,555560609-5,Meggie,Codee,Martguerita,New York,Ruturaj,PM,V,Ours,Invalid,Deviated,IMPACT5,13598 Cordelia Crossing
1,COM,151484749-3,Fran,Lexi,Stormie,Pune,Saugata,MDR,C,Ours,Valid,Adhered,,
3,COM,524555136-5,Sher,Jemmy,Tatiana,Sydney,Apoorv,RR,C,Ours,Valid,Adhered,,
1,COM,146623870-4,Brett,Valma,Betsey,Sydney,Divya,NC,E,Ours,Invalid,Deviated,IMPACT2,923 Hazelcrest Avenue
2,CA,039111308-9,Joshia,Zaneta,Philbert,Pune,Priyanka,DNR,C,Ours,Invalid,Deviated,IMPACT1,923 Hazelcrest Avenue
1,CA,415600661-1,Jacquetta,Hestia,Axe,Pune,Himabindu,WMS,E,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
2,COM,676430275-8,April,Harrison,Liz,London,Apoorv,RR,V,Ours,Invalid,Deviated,IMPACT2,4736 1st Parkway
3,COM,723333528-1,Jenna,Clementina,Filippo,Pune,Shiva,PM,V,Ours,Valid,Adhered,,
5,COM,919871685-9,Delainey,Normand,Axe,Pune,Suruchi,IM,V,Others,Valid,Adhered,,
3,COM,165750710-6,Beckie,Corrie,Martguerita,New York,Nagaraju,PM,C,Ours,Valid,Adhered,,
5,COM,872259810-3,Eugine,Danny,Sonja,Pune,Saugata,IM,C,Ours,Invalid,Deviated,IMPACT1,00 Mayfield Lane
4,COM,798897828-4,Ulric,Beryle,Lorenza,New York,Divya,RR,C,Ours,Invalid,Deviated,IMPACT1,923 Hazelcrest Avenue
2,COM,695261075-8,Cloris,Henrieta,Berthe,Pune,Saugata,PM,V,Ours,Valid,Adhered,,
3,COM,800325569-4,Aldin,Raynard,Tatiana,Pune,Apoorv,DNR,E,Ours,Valid,Adhered,,
4,COM,569387882-1,Emmeline,Shayne,Alec,London,Saugata,MDR,V,Ours,Valid,Adhered,,
5,COM,684516449-5,Hannah,Jemmy,Tatiana,Sydney,Himabindu,NC,V,Others,Invalid,Deviated,IMPACT3,1 Hintze Hill
1,COM,232023228-1,Ariel,Brodie,Janna,Pune,Sandeep,RR,E,Ours,Invalid,Deviated,IMPACT4,00 Mayfield Lane
3,COM,119783065-0,Ingunna,Ole,Lorenza,New York,Suruchi,IM,V,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
2,COM,115333662-6,Bendix,Meghan,Rip,Pune,Priyanka,DNR,E,Ours,Valid,Adhered,,
4,COM,638531526-6,Randene,Raynard,Tatiana,Pune,Divya,RR,V,Ours,Valid,Adhered,,
1,COM,919746163-6,Glori,Durant,Malinda,London,Himabindu,NC,V,Ours,Invalid,Deviated,IMPACT3,37188 Karstens Pass
3,COM,482350599-9,Merwyn,Devinne,Theodosia,Pune,Ruturaj,MDR,C,Ours,Invalid,Deviated,IMPACT4,5 Ruskin Court
2,CA,142454196-4,Dorisa,Zaneta,Philbert,Pune,Sandeep,PM,V,Others,Invalid,Deviated,IMPACT1,6 Bultman Crossing
3,COM,462104878-3,Kamila,Mathias,Berthe,Pune,Apoorv,MDR,V,Ours,Invalid,Deviated,IMPACT1,1105 Bowman Trail
4,COM,947322144-4,Warner,Edwin,Philbert,New York,Sandeep,NC,V,Ours,Invalid,Deviated,IMPACT1,923 Hazelcrest Avenue
1,COM,867764600-0,Dmitri,Tony,Stormie,Pune,Saugata,RR,V,Ours,Invalid,Deviated,IMPACT1,3 American Trail
3,CA,885474047-0,Elicia,Candra,Eugenia,London,Shiva,WMS,V,Ours,Invalid,Deviated,IMPACT4,1972 Scott Pass
2,COM,700439049-7,Roslyn,Chas,Filippo,New York,Nagaraju,MDR,V,Ours,Invalid,Deviated,IMPACT5,41568 Doe Crossing Junction
3,COM,400103856-0,Jacobo,Antonin,Martguerita,Pune,Ruturaj,WMS,C,Ours,Invalid,Deviated,IMPACT3,923 Hazelcrest Avenue
4,COM,941379667-X,Dianna,Malcolm,Eugenia,New York,Shiva,PM,E,Others,Invalid,Deviated,IMPACT2,27 Lakeland Lane
1,COM,873690126-1,Dusty,Kirby,Alec,Sydney,Apoorv,RR,C,Ours,Invalid,Deviated,IMPACT4,4736 1st Parkway
1,COM,539828598-X,Gaston,Zaneta,Philbert,Pune,Shiva,NC,E,Ours,Valid,Adhered,,
2,COM,002342627-6,Amata,Kamila,Stormie,Pune,Himabindu,DNR,V,Ours,Valid,Adhered,,
3,COM,029210135-X,Corey,Antone,Philbert,Pune,Nagaraju,NC,C,Ours,Invalid,Deviated,IMPACT3,1 Hintze Hill
2,COM,521929321-4,Ethan,Jeramey,Filippo,New York,Shiva,PM,C,Ours,Invalid,Deviated,IMPACT4,4474 Waubesa Circle
1,COM,480627473-9,Carlos,Meghan,Rip,Pune,Nagaraju,PM,C,Ours,Invalid,Deviated,IMPACT3,68224 Coolidge Hill
4,COM,090552185-4,Claudette,Alvin,Rip,New York,Shiva,DNR,V,Ours,Invalid,Deviated,IMPACT3,1 Hintze Hill
3,COM,920017144-3,Kane,Edwin,Philbert,New York,Ruturaj,DNR,V,Ours,Valid,Adhered,,
1,COM,339949661-3,Enrichetta,Ryon,Tawnya,Sydney,Priyanka,PM,C,Ours,Invalid,Deviated,IMPACT3,4 Esch Park
2,COM,411371467-3,Valli,Codee,Martguerita,New York,Shiva,NC,C,Ours,Valid,Adhered,,
4,COM,781276838-4,Natka,Teriann,Rip,Pune,Sandeep,IM,V,Ours,Valid,Adhered,,
4,COM,931483107-8,Toby,Winnie,Sandye,Pune,Himabindu,DNR,C,Ours,Invalid,Deviated,IMPACT4,6 Logan Alley
5,COM,687712164-3,Ken,Ame,Rozalie,Pune,Himabindu,WMS,E,Ours,Invalid,Deviated,IMPACT2,6 School Court
4,COM,878067005-9,Marita,Sanson,Suzanna,Pune,Nagaraju,IM,V,Ours,Valid,Adhered,,
1,COM,195044864-9,Angelo,Garrik,Ardelia,Pune,Nagaraju,WMS,C,Ours,Valid,Adhered,,
2,COM,054384283-5,Parker,Winnie,Sandye,Pune,Suruchi,NC,C,Others,Invalid,Deviated,IMPACT5,8894 Grim Terrace
5,COM,854833125-9,Hakim,Malcolm,Eugenia,New York,Sandeep,PM,C,Ours,Valid,Adhered,,
1,COM,407916521-8,Nata,Edwin,Philbert,New York,Priyanka,IM,E,Ours,Invalid,Deviated,IMPACT1,4774 Meadow Ridge Parkway
3,COM,558220311-7,Shaine,Antonin,Martguerita,Pune,Priyanka,WMS,V,Ours,Invalid,Deviated,IMPACT3,690 Hazelcrest Point
1,COM,916058997-3,Sheeree,Osbourne,Alastair,Sydney,Ruturaj,PM,V,Ours,Valid,Adhered,,
2,COM,766687502-9,Shannon,Chas,Filippo,New York,Nagaraju,RR,E,Ours,Invalid,Deviated,IMPACT2,00 Mayfield Lane
1,COM,904658360-0,Stanleigh,Tony,Stormie,Pune,Saugata,MDR,C,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
1,COM,165688220-5,Lynna,Marja,Theodosia,Pune,Sandeep,PM,E,Ours,Invalid,Deviated,IMPACT3,704 Hooker Plaza
2,COM,323075403-4,Konstanze,Teriann,Rip,Pune,Sandeep,RR,V,Others,Invalid,Deviated,IMPACT5,1972 Scott Pass
3,COM,199457999-4,Sukey,Damiano,Alejandrina,Sydney,Priyanka,WMS,V,Ours,Invalid,Deviated,IMPACT5,606 Waubesa Center
3,COM,067399441-4,Wainwright,Gardiner,Stormie,Pune,Himabindu,MDR,V,Ours,Invalid,Deviated,IMPACT1,41568 Doe Crossing Junction
1,COM,020996555-X,Felipe,Clemente,Axe,London,Suruchi,NC,C,Ours,Valid,Adhered,,
1,COM,095956168-4,Myrilla,Beryle,Lorenza,New York,Suruchi,MDR,V,Ours,Invalid,Deviated,IMPACT5,16 Spohn Pass
3,COM,815046486-7,Torre,Ives,Philbert,Pune,Priyanka,WMS,E,Ours,Valid,Adhered,,
1,COM,238336966-7,Paolo,Shayne,Alec,London,Apoorv,PM,E,Ours,Invalid,Deviated,IMPACT1,1972 Scott Pass
3,COM,768285965-2,Amy,Ame,Rozalie,Pune,Apoorv,MDR,V,Ours,Invalid,Deviated,IMPACT3,25 Sutteridge Pass
1,COM,829225784-5,Eldon,Sanson,Suzanna,Pune,Priyanka,PM,V,Ours,Invalid,Deviated,IMPACT4,1972 Scott Pass
2,COM,550380270-5,Zondra,Codee,Martguerita,New York,Ruturaj,MDR,C,Ours,Invalid,Deviated,IMPACT3,875 Declaration Avenue
1,COM,567135399-8,Corey,Devinne,Theodosia,Pune,Priyanka,NC,V,Ours,Valid,Adhered,,
4,CA,547740079-X,Julian,Lexi,Stormie,Pune,Apoorv,PM,C,Ours,Invalid,Deviated,IMPACT3,1972 Scott Pass
5,COM,131450774-5,Ramonda,Teriann,Rip,Pune,Sandeep,MDR,V,Ours,Valid,Adhered,,
3,COM,919217329-2,Vernice,Durant,Malinda,London,Divya,NC,C,Ours,Invalid,Deviated,IMPACT1,5188 Old Gate Center
1,COM,152567438-2,Pietra,Durant,Malinda,London,Himabindu,DNR,V,Ours,Valid,Adhered,,
4,COM,526276658-7,Florian,Fancy,Lutero,Pune,Suruchi,MDR,V,Ours,Invalid,Deviated,IMPACT3,4 Anthes Pass
3,COM,243469538-8,Barbee,Dew,Darnell,New York,Ruturaj,IM,E,Ours,Valid,Adhered,,
2,COM,736484245-4,Kesley,Agathe,Sonja,Pune,Divya,NC,V,Others,Invalid,Deviated,IMPACT5,00 Mayfield Lane
1,COM,620162936-X,Zarla,Agathe,Sonja,Pune,Suruchi,MDR,C,Ours,Invalid,Deviated,IMPACT2,3400 Mariners Cove Court
4,COM,035066956-2,Matelda,Antone,Philbert,Pune,Priyanka,PM,V,Ours,Valid,Adhered,,
3,COM,388458103-1,Magdalena,Kirby,Alec,Sydney,Suruchi,WMS,E,Ours,Valid,Adhered,,
2,COM,056646322-9,Randa,Winnie,Sandye,Pune,Saugata,NC,V,Ours,Invalid,Deviated,IMPACT3,3 American Trail
5,COM,220116413-4,Bellanca,Nicolea,Lorenza,New York,Saugata,RR,V,Ours,Invalid,Deviated,IMPACT3,3 American Trail
4,COM,572276794-8,Kiley,Agathe,Sonja,Pune,Saugata,NC,E,Ours,Valid,Adhered,,
3,COM,389404175-7,Norine,Gardiner,Stormie,Pune,Himabindu,IM,E,Ours,Invalid,Deviated,IMPACT1,1972 Scott Pass
3,CA,130858864-X,Maurie,Shantee,Sonja,Pune,Divya,DNR,C,Ours,Valid,Adhered,,
1,COM,247659565-9,Fifi,Antonin,Martguerita,Pune,Ruturaj,DNR,V,Ours,Invalid,Deviated,IMPACT1,30 Porter Terrace
1,COM,899336016-2,Ches,Brodie,Janna,Pune,Sandeep,WMS,E,Ours,Invalid,Deviated,IMPACT2,3 American Trail
4,COM,863849470-X,Julius,Danny,Sonja,Pune,Saugata,RR,V,Others,Invalid,Deviated,IMPACT5,7807 Brentwood Trail
3,COM,882575220-2,Odette,Augusta,Betsey,Sydney,Divya,PM,V,Ours,Invalid,Deviated,IMPACT4,65244 Schiller Terrace
2,COM,111128668-X,Julia,Candra,Eugenia,London,Priyanka,NC,C,Ours,Invalid,Deviated,IMPACT1,4 Packers Drive
2,COM,567800627-4,Jeanette,Brietta,Sonja,London,Apoorv,WMS,E,Ours,Invalid,Deviated,IMPACT5,1972 Scott Pass
3,COM,013164086-0,Lem,Augusta,Betsey,Sydney,Apoorv,PM,V,Ours,Valid,Adhered,,
4,COM,774266893-9,Clovis,Dicky,Eugenia,New York,Sandeep,IM,C,Ours,Valid,Adhered,,
5,COM,557242775-6,Anderea,Raynard,Tatiana,Pune,Apoorv,MDR,E,Ours,Invalid,Deviated,IMPACT1,58016 Sheridan Center
1,COM,958651281-9,Ebony,Jeramey,Filippo,New York,Nagaraju,WMS,E,Ours,Invalid,Deviated,IMPACT5,7 Sachs Center
2,COM,918315278-4,Mattie,Edwin,Philbert,New York,Ruturaj,NC,C,Ours,Invalid,Deviated,IMPACT2,5 Vahlen Trail
5,COM,255430451-3,Quintana,Dicky,Eugenia,New York,Shiva,NC,E,Ours,Invalid,Deviated,IMPACT4,5 Moland Point
3,COM,193865975-9,Birk,Marja,Theodosia,Pune,Sandeep,NC,V,Ours,Invalid,Deviated,IMPACT5,477 Burning Wood Parkway
3,COM,094742649-3,Reine,Chas,Filippo,New York,Sandeep,RR,C,Ours,Invalid,Deviated,IMPACT3,16 Sommers Hill
3,COM,454024097-8,Ibby,Harrison,Liz,London,Divya,DNR,C,Ours,Invalid,Deviated,IMPACT2,37188 Karstens Pass
2,COM,211297829-2,Rosaleen,Brigitta,Ardelia,Sydney,Nagaraju,MDR,V,Ours,Invalid,Deviated,IMPACT1,1972 Scott Pass
3,COM,981931181-0,Barrie,Brietta,Sonja,London,Divya,RR,C,Ours,Valid,Adhered,,
1,COM,188046140-4,Bibbie,Raynard,Tatiana,Pune,Suruchi,MDR,V,Ours,Invalid,Deviated,IMPACT1,00 Mayfield Lane
2,CA,025143728-0,Corinne,Harrison,Liz,London,Suruchi,WMS,E,Ours,Invalid,Deviated,IMPACT2,1 Hintze Hill
4,COM,864079800-1,Sherill,Alvin,Rip,New York,Sandeep,NC,C,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
5,COM,856661587-5,Fredrick,Tuckie,Phil,Pune,Saugata,PM,C,Others,Invalid,Deviated,IMPACT5,3949 Farragut Lane
4,COM,775575122-8,Waite,Garrik,Ardelia,Pune,Priyanka,RR,V,Ours,Valid,Adhered,,
1,COM,435928736-4,Aloise,Ara,Carlina,New York,Suruchi,DNR,C,Ours,Invalid,Deviated,IMPACT1,923 Hazelcrest Avenue
3,COM,242204923-0,Lock,Antone,Philbert,Pune,Ruturaj,MDR,V,Ours,Invalid,Deviated,IMPACT5,1972 Scott Pass
1,COM,362583623-8,Waverley,Devinne,Theodosia,Pune,Ruturaj,WMS,V,Ours,Invalid,Deviated,IMPACT5,1972 Scott Pass
5,CA,375331416-1,Beverlee,Corrie,Martguerita,New York,Shiva,IM,E,Ours,Invalid,Deviated,IMPACT2,39949 Dunning Junction
1,COM,652029665-1,Anne-corinne,Edwin,Philbert,New York,Priyanka,NC,E,Ours,Invalid,Deviated,IMPACT1,00 Mayfield Lane
1,COM,543784565-0,Tildi,Ole,Lorenza,New York,Apoorv,IM,E,Ours,Invalid,Deviated,IMPACT3,1 Hintze Hill
2,COM,560189345-4,Effie,Carmita,Philbert,Sydney,Sandeep,NC,C,Ours,Valid,Adhered,,
1,COM,652330361-6,Augy,Lexi,Stormie,Pune,Divya,IM,C,Ours,Invalid,Deviated,IMPACT5,704 Hooker Plaza
4,COM,352119564-3,Martin,Jeramey,Filippo,New York,Priyanka,RR,V,Ours,Invalid,Deviated,IMPACT3,1972 Scott Pass
1,COM,778295068-6,Ketti,Nicolea,Lorenza,New York,Saugata,IM,E,Ours,Invalid,Deviated,IMPACT1,1972 Scott Pass
2,CA,551100532-0,Gasper,Garrik,Ardelia,Pune,Shiva,PM,E,Ours,Invalid,Deviated,IMPACT3,875 Declaration Avenue
5,COM,235738402-6,Wilmette,Henrieta,Berthe,Pune,Himabindu,DNR,E,Ours,Valid,Adhered,,
4,COM,601733279-1,Leland,Raynard,Tatiana,Pune,Suruchi,MDR,E,Others,Valid,Adhered,,
5,COM,288071192-4,Gibbie,Clementina,Filippo,Pune,Sandeep,NC,E,Others,Invalid,Deviated,IMPACT4,3 American Trail
3,COM,693625173-0,Hilda,Normand,Axe,Pune,Suruchi,MDR,C,Ours,Invalid,Deviated,IMPACT2,84445 Bashford Point
3,CA,490841656-7,Christyna,Fancy,Lutero,Pune,Suruchi,NC,V,Ours,Invalid,Deviated,IMPACT2,1 Hintze Hill
1,COM,484188083-6,Verine,Teriann,Rip,Pune,Sandeep,MDR,C,Ours,Invalid,Deviated,IMPACT4,41890 Jana Hill
5,COM,200049188-X,Jannelle,Teriann,Rip,Pune,Shiva,MDR,V,Ours,Invalid,Deviated,IMPACT4,1 Hintze Hill
2,COM,728773475-3,Collin,Tuckie,Phil,Pune,Divya,NC,V,Ours,Invalid,Deviated,IMPACT2,5 Twin Pines Crossing
2,COM,310254236-0,Carlye,Alvin,Rip,New York,Shiva,WMS,V,Ours,Valid,Adhered,,
2,COM,865075119-9,Burtie,Edwin,Philbert,New York,Nagaraju,WMS,E,Ours,Invalid,Deviated,IMPACT5,1972 Scott Pass
4,CA,058701412-1,Norrie,Malcolm,Eugenia,New York,Priyanka,IM,V,Ours,Invalid,Deviated,IMPACT1,00 Mayfield Lane
4,COM,409564783-3,Boycie,Brigitta,Ardelia,Sydney,Priyanka,RR,V,Others,Valid,Adhered,,
2,CA,518596492-8,Herb,Sanson,Suzanna,Pune,Sandeep,NC,E,Ours,Invalid,Deviated,IMPACT2,89 Saint Paul Street
2,COM,537528946-6,Lyell,Winnie,Sandye,Pune,Apoorv,RR,E,Ours,Valid,Adhered,,
4,COM,444291538-5,Tammy,Fancy,Lutero,Pune,Saugata,DNR,E,Ours,Valid,Adhered,,
2,COM,825998734-1,Merl,Alvin,Rip,New York,Ruturaj,RR,V,Others,Invalid,Deviated,IMPACT2,58 Florence Terrace
1,COM,355924470-6,Dene,Chas,Filippo,New York,Ruturaj,IM,C,Ours,Valid,Adhered,,
4,COM,657188869-6,Elie,Codee,Martguerita,New York,Sandeep,IM,C,Others,Invalid,Deviated,IMPACT4,89 Mccormick Street
3,COM,484644705-7,Eugene,Brittne,Nevile,Pune,Shiva,WMS,C,Ours,Invalid,Deviated,IMPACT3,704 Hooker Plaza
3,COM,624548871-0,Abner,Henrieta,Berthe,Pune,Divya,NC,C,Others,Valid,Adhered,,
1,COM,548718062-8,Rosalia,Ame,Rozalie,Pune,Divya,WMS,C,Ours,Invalid,Deviated,IMPACT5,36 Dexter Way
1,CA,417420761-5,Raddy,Alvin,Rip,New York,Sandeep,MDR,C,Ours,Invalid,Deviated,IMPACT1,3 American Trail
4,COM,525687292-3,Dermot,Alvin,Rip,New York,Shiva,PM,C,Ours,Invalid,Deviated,IMPACT5,1 Hintze Hill
2,COM,574766735-1,Elianore,Edwin,Philbert,New York,Shiva,NC,V,Ours,Valid,Adhered,,
3,CA,103904736-X,Salomone,Hestia,Axe,Pune,Divya,RR,E,Ours,Invalid,Deviated,IMPACT2,847 Oak Valley Lane
4,COM,179059530-4,Violetta,Nicolea,Lorenza,New York,Himabindu,IM,V,Ours,Invalid,Deviated,IMPACT5,518 Nancy Plaza
1,COM,384722289-9,Donn,Ara,Carlina,New York,Saugata,DNR,C,Ours,Invalid,Deviated,IMPACT5,923 Hazelcrest Avenue
